
非常方便配料也足味道也好，家里人都非常喜欢吃。,0.8476,1
做出来很好吃，家人都说跟店子的味道一样,0.6303,1
还可以，金汤比别家稍微差点，鱼片还不错，性价比挺高,0.9969,1
操作方便味道不错价格便宜,0.862,1
味道不错，酸菜鱼味道比较正宗。,0.8696,1
挺好的,0.8284,1
收到货时冻得邦邦硬，新鲜，好👍,0.0218,1
中规中矩，感觉一般般，勉强还行吧,0.9949,0
好鱼，方便适用的产品！,0.5086,1
京东品质服务值得信赖推荐购买商品卖家服务有保障,0.9995,1
东西不错，色泽鲜艳也很好，味道也不错的，值得尝试的！,0.9987,1
鱼片很嫩，处理好的，味道不错。味正量足，值得信懒。点赞推荐。,0.9758,1
满满一大碗，份量很足 太合我的口味啦！大大的鱼肉片，稍微煮一下就好，鱼片没有鱼刺 ， 可以大口吃鱼，  简单一煮 ，完全不输外面饭店的味道！,0.0898,1
这款酸菜鱼真的是厨房小白的福音，简单方便，还下饭，鱼片干干净净，基本上没有任何鱼刺，加上自己喜欢的蔬菜🥬就是一道非常下饭的菜！,0.9891,1
酸菜鱼收到啦，味道很好  做起来十分方便，再加一些自己喜欢的配菜，妥妥下饭 鱼片很嫩 汤调的也不错～,0.6658,1
真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，味道非常的正宗，非常好吃，下饭，很满意的一次购物,0.9971,1
鱼片很不错，鱼肉嫩滑  赠送的金汤和酸菜味道很正宗  在家就能吃到这么好吃的酸菜鱼，省时省力 关键价格也很实惠  会继续回购,0.9963,1
货收到了，这家的酸菜鱼真的绝了，主要食材新鲜，黑鱼片特别好，不象有的牌子汤做出来是糊的，会无限回购的商品，京东物流特别给力！👍,0.9643,1
挺好的，快递也很快。送货上门。,0.8865,1
物美价廉&hellip;&hellip;味道不错！做着简单&hellip;&hellip;很好,0.9777,1
吃的很方便。味道很好。,0.812,1
物美价廉，味道可以，还会回购,0.4885,1
第二次购买预制菜品了，很省事也好吃,0.1775,1
"快递包装很好
送货速度很快",0.9162,1
孩子爱吃，物超所得，值得购买，已推荐，会回购的,0.9948,1
运输非常快㨗，产品包装完好，下次再购,0.4141,1
很不错，鱼片份量足，汤和酸菜的味道好，以后会继续购买。,0.9417,1
东西质量非常好，与卖家描述的完全一致，非常满意简直太好用了，只能用完美来形容！强烈推荐！商品收到咯，特别喜欢，一收到就迫不及待地打开了，家人也很满意，这次购物体验不错宝贝收到了，很惊喜，质量非常好，很满意的一次购物。我会继续回购的，店家值得信赖,1.0,1
不错的选择，简单方便，下次还会再来,0.9254,1
这个金汤酸菜鱼味道不错，,0.8667,1
没有保温箱,0.5984,0
味道好，不是特别辣，孩子也能接受,0.7632,1
味道不错，酸菜很酸，鱼也可以，就是太辣了！！！,0.0952,0
包装完好，快递服务满意，还未食用。,0.6341,1
满意,0.7053,1
一定会回购，味道不错！,0.5706,1
味道不错，好评！,0.753,1
很好吧，觉得还行，主要就是省事，预制菜的优势,0.4333,1
感觉还不错，感觉还不错吧,0.9839,1
货到了看上去不错还有吃,0.8214,1
还行,0.7194,1
冷链运输包装好，快递送货上门 速度快,0.4575,1
味道不错，数量够多。,0.6985,1
发货不快，第一次买，还不知道怎么样,0.3987,0
有小刺🌚毕竟是机器削的,0.6457,0
性价比高，还没吃，吃了再追评,0.7871,1
包装都没写，烹饪下料包顺序，简直绝了。,0.0282,0
配料味道不怎么样,0.2116,0
酸菜有点多，有点咸，儿子说还好,0.5058,1
包装上连做法都没有！！！,0.1418,0
习惯好评，味道我们觉得一般般吧，不如自己做的,0.3681,1
"商品质量：产品总体不错，包装严实，质量符合描述，没有发现任何问题。
商家服务：商家态度专业热情，有问必答，回复迅速，对待客户耐心细致，令人满意。
物流快递：发货速度快，物流公司服务态度好，运送速度迅速，为客户考虑，提供了良好的物流服务。
整体体验：整体购物体验愉快，超过了预期，性价比高，以后会继续光顾，并推荐给朋友。
建议与期待：希望商家能够保持这样的服务质量，期待更多的优惠和新品，以便再次购买。",1.0,1
鱼片解冻后，非常新鲜。,0.0774,1
不错不错哦，第二次买了,0.9438,1
真心不错味道很好的还会买的,0.9083,1
好吃吃酸菜鱼好吃的酸菜鱼好吃的酸菜鱼好吃的,0.8348,1
"终于收到我需要的宝贝了，东西很好，价美物廉，谢谢掌柜的！说实在，这是我京东购物来让我最满意的一次购物。无论是掌柜的态度还是对物品，我都非常满意的。掌柜态度很专业热情，有问必答，回复也很快，我问了不少问题，他都不觉得烦，都会认真回答我，这点我向掌柜表示由衷的敬意，这样的好掌柜可不多。

再说宝贝，正是我需要的，收到的时候包装完整，打开后让我惊喜的是，宝贝比我想象中的还要好！不得不得竖起大拇指。下次需要的时候我还会再来的，到时候麻烦掌柜给个优惠哦！",1.0,1
酸菜鱼质量非常好，快递非常快，味道好极了，在家就可以吃到饭店里的味道，京东平台的自营店，产品质量信得过，物美价廉，还会继续复购,0.7864,1
东西比我想象中的还要完美，十分给力，值得入手,0.9877,1
🎈商品收到了，包装得很好，物流非常快，客服态度很积极，有问题及时解答！总体来说非常满意！,0.8701,1
质量非常好，价美物廉，发货速度快，包装仔细严实，非常满意,0.973,1
物流速度真的是没话说，就是一个字：快。商品从外包装来看非常高档，真是一分钱一分货，贵有贵的道理,0.495,1
本来还很担心东西不好，拿到手发现完全多虑了，五星好评,0.7033,0
#,0.25,0
酸菜鱼收到啦，味道很好  做起来十分方便，再加一些自己喜欢的配菜，妥妥下饭 鱼片很嫩 汤调的也不错～,0.6658,1
